#measure = Z-Score, type = local list,numberOfSampleGraphs = 4000
#primaryId = 0, numberOfFriends = 2
3,0.5114028067037616
5,0.13998221307346234
#primaryId = 1, numberOfFriends = 2
4,0.21826399968625226
2,0.07645135066742986
#primaryId = 2, numberOfFriends = 3
4,0.25086783296262416
5,0.13773559663843166
1,0.07645135066742986
#primaryId = 3, numberOfFriends = 1
0,0.5114028067037616
#primaryId = 4, numberOfFriends = 3
5,0.312442238054638
2,0.25086783296262416
1,0.21826399968625226
#primaryId = 5, numberOfFriends = 3
4,0.312442238054638
0,0.13998221307346234
2,0.13773559663843166
